"FileData","FilePath"
"","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021"
"%  O0006(WES)  G00G40G50S2200 ","F:\Data\Scripts\Powershell\BRIO\Files\O0006"
"%  O0007(SLIDING SLEEVE)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0007"
"%  O0009(2.813 NE-XA INNER SLEEVE)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0009"
"%  O0050(3.0L.P BOX)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0050"
"%  O0051(3.0L.P PIN)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0051"
"%  O0057(2.0 LINE PIPE PIN)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0057"
"%  O0070(2 7/8 EUE PIN)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0070"
"%  O0078(2 3/8 EUE BOX)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0078"
"%  O0200(DRILLING)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0200"
"%  O0201(TURN OD WITH T.S.)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0201"
"%  O0202(FACE AND C DRILL)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0202"
"%  O0204(SPADE DRILL)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0204"
"%  O0205(SPADE DRILL)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0205"
"%  O0206(SPADE DRILL)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0206"
"%  O0300(2.313 X-LOCK WINDOW HOUSING)  (P/N 11OE2313X-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0300"
"%  O0301(P/N 11OE2313X-01) (2.313 X-LOCK PULLING NECK)","F:\Data\Scripts\Powershell\BRIO\Files\O0301"
"%  O0302(P/N 11OE2313X-01) (2.313 X-LOCK PULLING NECK)","F:\Data\Scripts\Powershell\BRIO\Files\O0302"
"%  O0303(2.0 R LOCK WINDOW HOUSING)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0303"
"%  O0304(2.0 R LOCK WINDOW HOUSING)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0304"
"%  O0305(2.0 PR HOUSING)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0305"
"%  O0306(2.0 PR HOUSING)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0306"
"%  O0307(2.313 R LOCK WINDOW HOUS.)  (P/N 11OE2313R-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0307"
"%  O0308(2.313 R LOCK WINDOW HOUS.)  (P/N 11OE2313R-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0308"
"%  O0309(2.313 R LOCK PACK.MANDREL)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0309"
"%  O0310(2.75 NE-XA INNER SLEEVE)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0310"
"%  O0311(2.75 NE-XA INNER SLEEVE)  (MULTI POSITION) ","F:\Data\Scripts\Powershell\BRIO\Files\O0311"
"%  O0312(2.313 X-FLOAT VALVE SEAL SUB) (12OE2313WFV01 REV A)","F:\Data\Scripts\Powershell\BRIO\Files\O0312"
"%  O0313(2.313 X-FLOAT VALVE SEAL SUB) (12OE2313WFV01-REV A)","F:\Data\Scripts\Powershell\BRIO\Files\O0313"
"%  O0314(1.75 HYDROSTATIC BAILER)  (P/N 07BT1750HB-22)","F:\Data\Scripts\Powershell\BRIO\Files\O0314"
"%  O0315(1.750 HYDROSTATIC BAILER) (P/N-07BT1750HB-22)","F:\Data\Scripts\Powershell\BRIO\Files\O0315"
"%  O0316(1.875 CHOKE BEAN SCREEN)  (P/N 12OE1875CBS01 REV.1)","F:\Data\Scripts\Powershell\BRIO\Files\O0316"
"%  O0317(1.875 CHOKE BEAN SCREEN)  (12OE1875CBS01-REV.1)","F:\Data\Scripts\Powershell\BRIO\Files\O0317"
"%  O0318(1.500 ROPE SOCKET BODY) (P/N-02BT1500WRS01)","F:\Data\Scripts\Powershell\BRIO\Files\O0318"
"%  O0319(1.500 ROPE SOCKET BODY) (P/N-02BT1500WRS01)","F:\Data\Scripts\Powershell\BRIO\Files\O0319"
"%  O0320(1.5 S PULL.TOOL SHEAR PIN COV.) (P/N-04OE1500S-07) ","F:\Data\Scripts\Powershell\BRIO\Files\O0320"
"%  O0321(2 7/8 COLLAR STOP LEGS) (P/N-09OE2875CS-02)","F:\Data\Scripts\Powershell\BRIO\Files\O0321"
"%  O0322(1.875 X-LOCK WINDOW HOUSING)  (P/N-11OE1875X-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0322"
"%  O0323(1.875 X-LOCK WINDOW HOUSING)  (P/N-11OE1875X-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0323"
"%  O0324(2.313 X-FLOAT VALVE CAGE) (P/N-12OE2313WFV02-REV.A)","F:\Data\Scripts\Powershell\BRIO\Files\O0324"
"%  O0325(2F3R YAMCHI FLOAT VALVE S.SUB)  (99YS2875FV-01)","F:\Data\Scripts\Powershell\BRIO\Files\O0325"
"%  O0326(2F3R YAMCHI FLOAT VALVE S.SUB)  (99YS2875FV-01)","F:\Data\Scripts\Powershell\BRIO\Files\O0326"
"%  O0327(3.5IF YAMCHI FLOAT VALVE S.SUB) (99YS3500FV-01)","F:\Data\Scripts\Powershell\BRIO\Files\O0327"
"%  O0328(3.5IF YAMCHI FLOAT VALVE S.SUB) (99YS3500FV-01)","F:\Data\Scripts\Powershell\BRIO\Files\O0328"
"%  O0329(2.813 X-FLOAT VALVE DART) (WITH BONDED TIP)","F:\Data\Scripts\Powershell\BRIO\Files\O0329"
"%  O0330(2.313 X-FLOAT VALVE DART) (WITH BONDED TIP)","F:\Data\Scripts\Powershell\BRIO\Files\O0330"
"%  O0331(2F3R YAMCHI FLOAT VALVE SEAL) (WASHER) ","F:\Data\Scripts\Powershell\BRIO\Files\O0331"
"%  O0332(3.5 IF YAMCHI FLOAT VALVE SEAL) (WASHER) ","F:\Data\Scripts\Powershell\BRIO\Files\O0332"
"%  O0333(2.813 R LOCK WINDOW HOUSING)  (P/N 11OE2813R-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0333"
"%  O0334(2.813 R LOCK WINDOW HOUSING)  (P/N 11OE2813R-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0334"
"%  O0335(2.813 R LOCK PULLING NECK)  (P/N 11OE2813R-01) ","F:\Data\Scripts\Powershell\BRIO\Files\O0335"
"%  O0336(2.813 R LOCK PULLING NECK)  (P/N 11OE2813R-01) ","F:\Data\Scripts\Powershell\BRIO\Files\O0336"
"%  O0337(2.75/2.813 R LOCK EXP.TUBE) (P/N 11OE2750R-02) ","F:\Data\Scripts\Powershell\BRIO\Files\O0337"
"%  O0338(2.75/2.813 R-LOCK EXP.TUBE) (P/N 11OE2750R-02) ","F:\Data\Scripts\Powershell\BRIO\Files\O0338"
"%  O0339(2.75/2.813 R LOCK PACK.MANDREL)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0339"
"%  O0340(2.75/2.813 R LOCK PACK.MANDREL)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0340"
"%  O0341(2.875 COLLAR F STOP WITH) (INTERFERENCE THREADED MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0341"
"%  O0342(2.875 COLLAR F STOP WITH) (INTERFERENCE THREADED MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0342"
"%  O0343(2.375 COLLAR F STOP WITH) (INTERFERENCE THREADED MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0343"
"%  O0344(2.375 COLLAR F STOP WITH) (INTERFERENCE THREADED MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0344"
"%  O0345(2.375 COLLAR F STOP WITH) (INTERFERENCE THREADED MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0345"
"%  O0346(2.375 A3 STYLE RATCHETING)  (PACKOFF BODY) ","F:\Data\Scripts\Powershell\BRIO\Files\O0346"
"%  O0347(2.375 A3 STYLE RATCHETING)  (PACKOFF BODY) ","F:\Data\Scripts\Powershell\BRIO\Files\O0347"
"%  O0348(2.875 A3 STYLE RATCHETING)  (PACKOFF BODY) ","F:\Data\Scripts\Powershell\BRIO\Files\O0348"
"%  O0349(2.875 A3 STYLE RATCHETING)  (PACKOFF BODY) ","F:\Data\Scripts\Powershell\BRIO\Files\O0349"
"%  O0350(2.875 A3 STYLE RATCHETING)  (PACKOFF MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0350"
