#TYPE System.Management.Automation.PSCustomObject
"Folder Name","Group/User","Permissions","Inherited"
"F:\AdminTools\Beyond Compare 3","RI\BLong","FullControl","True"
"F:\AdminTools\Beyond Compare 3","NT AUTHORITY\Authenticated Users","Modify, Synchronize","True"
"F:\AdminTools\Beyond Compare 3","NT AUTHORITY\SYSTEM","FullControl","True"
"F:\AdminTools\Beyond Compare 3","BUILTIN\Administrators","FullControl","True"
"F:\AdminTools\Beyond Compare 3","RI\Domain Admins","Modify, Synchronize","True"
"F:\AdminTools\Beyond Compare 3","BUILTIN\Users","ReadAndExecute, Synchronize","True"
"F:\AdminTools\Commander","RI\BLong","FullControl","True"
"F:\AdminTools\Commander","NT AUTHORITY\Authenticated Users","Modify, Synchronize","True"
"F:\AdminTools\Commander","NT AUTHORITY\SYSTEM","FullControl","True"
"F:\AdminTools\Commander","BUILTIN\Administrators","FullControl","True"
"F:\AdminTools\Commander","RI\Domain Admins","Modify, Synchronize","True"
"F:\AdminTools\Commander","BUILTIN\Users","ReadAndExecute, Synchronize","True"
"F:\AdminTools\disktec","RI\BLong","FullControl","True"
"F:\AdminTools\disktec","NT AUTHORITY\Authenticated Users","Modify, Synchronize","True"
"F:\AdminTools\disktec","NT AUTHORITY\SYSTEM","FullControl","True"
"F:\AdminTools\disktec","BUILTIN\Administrators","FullControl","True"
"F:\AdminTools\disktec","RI\Domain Admins","Modify, Synchronize","True"
"F:\AdminTools\disktec","BUILTIN\Users","ReadAndExecute, Synchronize","True"
"F:\AdminTools\EF.Commander.v3.89.Cracked","RI\BLong","FullControl","True"
"F:\AdminTools\EF.Commander.v3.89.Cracked","NT AUTHORITY\Authenticated Users","Modify, Synchronize","True"
"F:\AdminTools\EF.Commander.v3.89.Cracked","NT AUTHORITY\SYSTEM","FullControl","True"
"F:\AdminTools\EF.Commander.v3.89.Cracked","BUILTIN\Administrators","FullControl","True"
"F:\AdminTools\EF.Commander.v3.89.Cracked","RI\Domain Admins","Modify, Synchronize","True"
"F:\AdminTools\EF.Commander.v3.89.Cracked","BUILTIN\Users","ReadAndExecute, Synchronize","True"
"F:\AdminTools\HostMonitor","RI\BLong","FullControl","True"
