"CN","DistinguishedName","PasswordLastSet","OperatingSystem","OperatingSystemVersion"
"RI-SRV-001","CN=RI-SRV-001,OU=Domain Controllers,DC=RI,DC=Ads","3/14/2020 5:23:04 AM","Windows Server 2008 R2 Enterprise","6.1 (7600)"
"RI-HDC-001","CN=RI-HDC-001,OU=Domain Controllers,DC=RI,DC=Ads","3/30/2020 7:00:26 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-TSE-001","CN=RI-TSE-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/16/2020 12:43:06 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-EXCH-001","CN=RI-EXCH-001,OU=Servers,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","3/14/2020 4:28:32 PM","Windows Server? 2008 Standard","6.0 (6002)"
"RI-LOANER-072","CN=RI-LOANER-072,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","6/18/2010 1:56:02 PM","Windows XP Professional","5.1 (2600)"
"RI-WKS-006","CN=RI-WKS-006,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","9/2/2010 9:51:19 AM","Windows XP Professional","5.1 (2600)"
"RI-WKS-062","CN=RI-WKS-062,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","10/14/2010 9:46:38 AM","Windows XP Professional","5.1 (2600)"
"RI-WKS-006W7","CN=RI-WKS-006W7,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","10/18/2010 9:24:12 AM","Windows 7 Professional","6.1 (7600)"
"ri-nas-002","CN=ri-nas-002,OU=Servers,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","1/27/2017 12:49:16 PM",,
"EN-WKS-001-W7","CN=EN-WKS-001-W7,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","1/6/2012 8:19:45 PM","Windows 7 Ultimate","6.1 (7600)"
"EN-TSE-001","CN=EN-TSE-001,OU=Servers,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","12/23/2011 10:56:15 PM","Windows Server 2003","5.2 (3790)"
"RI-WKS-011","CN=RI-WKS-011,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","3/9/2020 10:08:17 PM","Windows 10 Pro","10.0 (18362)"
"RI-MDT-001","CN=RI-MDT-001,OU=Servers,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","11/25/2013 8:39:14 AM","Windows Server 2008 R2 Standard","6.1 (7601)"
"RI-WKS-777","CN=RI-WKS-777,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","8/19/2014 11:49:28 AM","Windows XP Professional","5.1 (2600)"
"RI-WKS-010PC","CN=RI-WKS-010PC,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","12/31/2012 8:27:40 PM","Windows 7 Professional","6.1 (7601)"
"WIN-UU4U1CRTPLC","CN=WIN-UU4U1CRTPLC,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","1/30/2013 2:40:28 PM","Windows 7 Professional","6.1 (7601)"
"RI-SPT-001","CN=RI-SPT-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/30/2017 5:33:35 PM","Windows Server 2012 R2 Standard","6.3 (9600)"
"BRIO-HVS-001","CN=BRIO-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/17/2020 5:12:43 AM","Hyper-V Server 2012","6.2 (9200)"
"RI-SURFACE-001","CN=RI-SURFACE-001,OU=Tablets,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","8/6/2013 9:21:52 AM","Windows 8 Pro","6.2 (9200)"
"TOO-HVS-001","CN=TOO-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/23/2020 10:19:35 AM","Hyper-V Server 2012","6.2 (9200)"
"RI-HVS-003","CN=RI-HVS-003,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","5/23/2017 11:17:21 AM","Hyper-V Server 2012","6.2 (9200)"
