"IPAddress","ScopeId","AddressState","ClientId","ClientType","Description","DnsRegistration","DnsRR","HostName","LeaseExpiryTime","NapCapable","NapStatus","PolicyName","ProbationEnds","ServerIP","PSComputerName"
"10.0.7.3","10.0.7.0","ActiveReservation","00-11-43-fa-e3-1c","Dhcp","DellSwitch-Lan-DMZ-Inet","NotApplicable","NoRegistration","DellSwitch-Lan-DMZ-Inet",,"False","FullAccess",,,"10.0.7.210",
"10.0.7.6","10.0.7.0","ActiveReservation","44-d9-e7-62-af-da","Dhcp","RI-AP-001","Complete","AandPTR","RI-AP-001.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.7","10.0.7.0","InactiveReservation","4c-5e-0c-03-24-5e","None","","NotApplicable","NoRegistration","New Router",,"False","FullAccess",,,"0.0.0.0",
"10.0.7.14","10.0.7.0","InactiveReservation","00-27-0e-0c-41-6a","None","Phone System","NotApplicable","NoRegistration","phonesystem.ri.ads",,"False","FullAccess",,,"0.0.0.0",
"10.0.7.18","10.0.7.0","ActiveReservation","00-1b-78-1a-8d-9e","Dhcp","HP Laserjet 9040","Pending","AandPTR","NPI1A8D9E.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.19","10.0.7.0","ActiveReservation","00-1b-a9-53-38-d4","Dhcp","Brother HL-3040CN","Complete","AandPTR","BRN001BA95338D4.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.20","10.0.7.0","ActiveReservation","00-21-2f-2b-37-aa","Dhcp","RenatusCam","Pending","AandPTR","AICN500W.RI.Ads",,"False","FullAccess",,,"10.0.7.210",
"10.0.7.21","10.0.7.0","ActiveReservation","00-00-85-86-6c-67","Dhcp","Canon iR C5185","Pending","AandPTR","RI-PRN-001.RI.Ads",,"False","FullAccess",,,"10.0.7.210",
"10.0.7.64","10.0.7.0","ActiveReservation","f8-b1-56-38-3c-0e","Dhcp","","Complete","AandPTR","PowerConnect troya.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.65","10.0.7.0","Active","b4-96-91-6d-9e-e6","Dhcp",,"Complete","PTR","BRIO-HVS-002.RI.Ads","4/8/2020 4:08:59 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.66","10.0.7.0","Active","1c-1b-0d-21-27-c8","Dhcp",,"NotApplicable","NoRegistration",,"4/8/2020 4:13:02 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.68","10.0.7.0","ActiveReservation","d8-cb-8a-86-5a-5f","Dhcp","Corinne","Complete","PTR","RI-DT-033.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.69","10.0.7.0","Active","4c-d9-8f-b8-ca-2f","Dhcp",,"Complete","PTR","BRIO-HVS-002.RI.Ads","4/8/2020 4:08:58 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.70","10.0.7.0","ActiveReservation","54-04-a6-3d-40-ee","Dhcp","RI-WKS-009","Complete","PTR","RI-WKS-009.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.71","10.0.7.0","Active","4c-d9-8f-b8-ca-30","Dhcp",,"Complete","PTR","BRIO-HVS-002.RI.Ads","4/8/2020 4:09:00 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.72","10.0.7.0","ActiveReservation","b8-ca-3a-b4-64-ad","Dhcp","","Complete","PTR","RI-DT-030.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.73","10.0.7.0","Active","b4-96-91-6d-9e-e7","Dhcp",,"Complete","PTR","BRIO-HVS-002.RI.Ads","4/8/2020 4:08:59 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.74","10.0.7.0","InactiveReservation","00-15-5d-07-e2-51","None","EN-BACKUP-116","NotApplicable","NoRegistration","EN-BACKUP-116",,"False","FullAccess",,,"0.0.0.0",
"10.0.7.75","10.0.7.0","Active","68-db-ca-6d-04-d4","Dhcp",,"Complete","AandPTR","iPhone.RI.Ads","4/8/2020 4:19:21 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.76","10.0.7.0","Active","d0-7f-a0-81-a3-ed","Dhcp",,"Complete","AandPTR","Galaxy-A8-2018.RI.Ads","4/8/2020 4:18:26 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.77","10.0.7.0","Active","f8-b1-56-72-87-87","Dhcp",,"Complete","AandPTR","PowerConnect troya.RI.Ads","4/8/2020 4:21:45 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.78","10.0.7.0","ActiveReservation","48-5f-99-ae-5a-36","Dhcp","Shep Shawn HP Printer","Complete","AandPTR","SHEP-SHAWN.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.79","10.0.7.0","Active","e0-b5-5f-75-f0-a5","Dhcp",,"Complete","AandPTR","BLUS-IPAD-002.RI.Ads","4/8/2020 3:45:35 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.80","10.0.7.0","Active","b4-fb-e4-25-16-f3","Dhcp",,"NotApplicable","NoRegistration",,"4/8/2020 4:14:25 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.81","10.0.7.0","Active","a0-4e-a7-be-5b-20","Dhcp",,"Complete","AandPTR","SHEP-IPAD-007.RI.Ads","4/8/2020 4:04:13 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.82","10.0.7.0","Active","4c-d9-8f-b8-ca-29","Dhcp",,"Complete","AandPTR","iDRAC-45XM333.RI.Ads","4/8/2020 4:12:44 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.83","10.0.7.0","Active","00-1c-c4-6c-2e-d4","Dhcp",,"Complete","AandPTR","ILO2-DL380G5.RI.Ads","4/8/2020 4:07:34 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.84","10.0.7.0","Active","74-d4-35-4d-85-e5","Dhcp",,"Complete","PTR","RI-DiskCat-001.RI.Ads","4/8/2020 4:19:59 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.85","10.0.7.0","Active","3c-15-c2-c9-9e-56","Dhcp",,"Complete","AandPTR","MacBook-Pro.RI.Ads","4/8/2020 4:03:06 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.86","10.0.7.0","ActiveReservation","d0-67-e5-76-c4-c4","Dhcp","","Complete","AandPTR","PowerConnect troya.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.87","10.0.7.0","ActiveReservation","5c-26-0a-a6-ca-56","Dhcp","","Complete","AandPTR","PowerConnect troya.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.88","10.0.7.0","Active","94-de-80-85-b0-f5","Dhcp",,"Complete","PTR","RI-DT-013.RI.Ads","4/8/2020 4:14:14 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.89","10.0.7.0","Active","f0-9f-c2-09-53-8e","Dhcp",,"Complete","AandPTR","RI-SW-WireRackCorner-001.RI.Ads","4/8/2020 4:09:01 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.91","10.0.7.0","ActiveReservation","d0-67-e5-cf-1b-97","Dhcp","","Complete","AandPTR","PowerConnect troya.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.92","10.0.7.0","Active","94-e9-6a-6f-2f-c9","Dhcp",,"Complete","AandPTR","SHEP-IPAD-154.RI.Ads","4/8/2020 4:00:22 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.93","10.0.7.0","Active","a4-83-e7-7f-06-30","Dhcp",,"Complete","AandPTR","Air2019.RI.Ads","4/8/2020 4:00:03 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.94","10.0.7.0","Active","d0-2b-20-81-d1-b1","Dhcp",,"Complete","AandPTR","iPhoneNS8.RI.Ads","4/8/2020 4:19:58 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.95","10.0.7.0","ActiveReservation","00-25-64-19-bb-b2","Dhcp","","Complete","AandPTR","PowerConnect troya.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.96","10.0.7.0","Active","f0-98-9d-36-06-7a","Dhcp",,"Complete","AandPTR","MB-iPhone-8.RI.Ads","4/8/2020 4:00:12 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.97","10.0.7.0","ActiveReservation","00-0c-29-47-77-01","Dhcp","ACE-Catelog","NotApplicable","NoRegistration","ACE-Catelog",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.98","10.0.7.0","Active","ec-ad-b8-5f-9d-48","Dhcp",,"Complete","AandPTR","SHEPIPAWellness.RI.Ads","4/8/2020 4:00:05 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.99","10.0.7.0","InactiveReservation","00-08-9b-ce-26-41","None","RI-QNAP-001","NotApplicable","NoRegistration","RI-QNAP-001",,"False","FullAccess",,,"0.0.0.0",
"10.0.7.100","10.0.7.0","Active","b0-83-fe-cf-d6-3b","Dhcp",,"Complete","PTR","RI-HVS-901.RI.Ads","4/8/2020 4:09:00 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.101","10.0.7.0","Active","04-69-f8-28-96-1a","Dhcp",,"Complete","AandPTR","SHEP-IPAD-153.RI.Ads","4/8/2020 4:03:38 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.102","10.0.7.0","Declined","66-07-00-0a","Dhcp","This address is already in use","NotApplicable","NoRegistration","BAD_ADDRESS","4/8/2020 4:27:05 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.103","10.0.7.0","ActiveReservation","ec-a8-6b-f2-99-6b","Dhcp","RI-DT-032","Complete","PTR","RI-DT-032.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.104","10.0.7.0","ActiveReservation","b4-e1-c4-47-52-e4","Dhcp","CG Phone","Complete","PTR","XERXES.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.105","10.0.7.0","Active","94-de-80-ed-06-7c","Dhcp",,"Complete","PTR","RI-DT-020.RI.Ads","4/8/2020 4:12:32 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.106","10.0.7.0","ActiveReservation","00-0b-82-82-1f-fa","Dhcp","Grandstream Phone","NotApplicable","NoRegistration","Grandstream Phone",,"False","FullAccess",,,"10.0.7.225",
