"ServerName","FilePath","FileSize"
"RI-APS-001","Q:\Windows\System32\Config\Software","50.5"
"RI-APS-001","Q:\Windows\System32\Config\System","10.75"
"RI-Backup-001","Q:\Windows\System32\Config\Software","44.25"
"RI-Backup-001","Q:\Windows\System32\Config\System","17.25"
"RI-Backup-003","Q:\Windows\System32\Config\Software","61"
"RI-Backup-003","Q:\Windows\System32\Config\System","19.25"
"RI-Backup-004","Q:\Windows\System32\Config\Software","49.25"
"RI-Backup-004","Q:\Windows\System32\Config\System","11.25"
"RI-Backup-006","Q:\Windows\System32\Config\Software","47.5"
"RI-Backup-006","Q:\Windows\System32\Config\System","11.25"
"RI-Backup-010","Q:\Windows\System32\Config\Software","61.75"
"RI-Backup-010","Q:\Windows\System32\Config\System","13.5"
"RI-DEV-001","Q:\Windows\System32\Config\Software","179.5"
"RI-DEV-001","Q:\Windows\System32\Config\System","14.75"
"RI-EXCH-001","Q:\Windows\System32\Config\Software","47"
"RI-EXCH-001","Q:\Windows\System32\Config\System","41"
"RI-EXCH-002","Q:\Windows\System32\Config\Software","75.75"
"RI-EXCH-002","Q:\Windows\System32\Config\System","13.5"
"RI-FS-001","Q:\Windows\System32\Config\Software","57.25"
"RI-FS-001","Q:\Windows\System32\Config\System","12.25"
"RI-FS-002","Q:\Windows\System32\Config\Software","63.75"
"RI-FS-002","Q:\Windows\System32\Config\System","13.25"
"RI-HDC-001","Q:\Windows\System32\Config\Software","44.75"
"RI-HDC-001","Q:\Windows\System32\Config\System","11.75"
"RI-HDC-003","Q:\Windows\System32\Config\Software","41"
"RI-HDC-003","Q:\Windows\System32\Config\System","9.25"
"RI-HDC-004","Q:\Windows\System32\Config\Software","44.75"
"RI-HDC-004","Q:\Windows\System32\Config\System","10.5"
"RI-HM-001","Q:\Windows\System32\Config\Software","48"
"RI-HM-001","Q:\Windows\System32\Config\System","10.5"
"RI-HM-003","Q:\Windows\System32\Config\Software","47"
"RI-HM-003","Q:\Windows\System32\Config\System","11.25"
"RI-MDT-003","Q:\Windows\System32\Config\Software","114.75"
"RI-MDT-003","Q:\Windows\System32\Config\System","18.75"
"RI-RDG-001","Q:\Windows\System32\Config\Software","59.75"
"RI-RDG-001","Q:\Windows\System32\Config\System","12.75"
"RI-SD-001","Q:\Windows\System32\Config\Software","90.5"
"RI-SD-001","Q:\Windows\System32\Config\System","10.75"
"RI-SEPM-001","Q:\Windows\System32\Config\Software","61.75"
"RI-SEPM-001","Q:\Windows\System32\Config\System","12"
"RI-SQL-001","Q:\Windows\System32\Config\Software","77"
"RI-SQL-001","Q:\Windows\System32\Config\System","11.5"
"RI-SRV-001","Q:\Windows\System32\Config\Software","57.25"
"RI-SRV-001","Q:\Windows\System32\Config\System","13.5"
"RI-TSE-001","Q:\Windows\System32\Config\Software","340"
"RI-TSE-001","Q:\Windows\System32\Config\System","24.75"
"RI-VMM-001","Q:\Windows\System32\Config\Software","101.25"
"RI-VMM-001","Q:\Windows\System32\Config\System","13.5"
"RI-WIKI-001","Q:\Windows\System32\Config\Software","57.25"
"RI-WIKI-001","Q:\Windows\System32\Config\System","13.25"
"RI-WSUS-004","Q:\Windows\System32\Config\Software","43"
"RI-WSUS-004","Q:\Windows\System32\Config\System","9.5"
"ACAW-HDC-002","Q:\Windows\System32\Config\Software","45.25"
"ACAW-HDC-002","Q:\Windows\System32\Config\System","10.5"
"ACAWT-APP-001","Q:\Windows\System32\Config\Software","31.5"
"ACAWT-APP-001","Q:\Windows\System32\Config\System","9"
"ACAWT-DEV-001a","Q:\Windows\System32\Config\Software","83.75"
"ACAWT-DEV-001a","Q:\Windows\System32\Config\System","18.25"
"ACAWT-FS-001","Q:\Windows\System32\Config\Software","73.75"
"ACAWT-FS-001","Q:\Windows\System32\Config\System","15"
"ACAWT-HDC-001","Q:\Windows\System32\Config\Software","62"
"ACAWT-HDC-001","Q:\Windows\System32\Config\System","13.25"
"ACAWT-SP-003","Q:\Windows\System32\Config\Software","92.75"
"ACAWT-SP-003","Q:\Windows\System32\Config\System","12.75"
"ACAWT-TSE-001","Q:\Windows\System32\Config\Software","173"
"ACAWT-TSE-001","Q:\Windows\System32\Config\System","28.75"
"ACE-FS-001","Q:\Windows\System32\Config\Software","78.25"
"ACE-FS-001","Q:\Windows\System32\Config\System","16"
"ACE-HDC-001","Q:\Windows\System32\Config\Software","42.75"
"ACE-HDC-001","Q:\Windows\System32\Config\System","10.5"
"ACE-RDS-001","Q:\Windows\System32\Config\Software","98.5"
"ACE-RDS-001","Q:\Windows\System32\Config\System","14.5"
"ACP-FS-001","Q:\Windows\System32\Config\Software","48.5"
"ACP-FS-001","Q:\Windows\System32\Config\System","17"
"ACP-HDC-002","Q:\Windows\System32\Config\Software","40.25"
"ACP-HDC-002","Q:\Windows\System32\Config\System","10"
"ACP-HDC-003","Q:\Windows\System32\Config\Software","66"
"ACP-HDC-003","Q:\Windows\System32\Config\System","12.25"
"ACP-EXCH-002","Q:\Windows\System32\Config\Software","75.75"
"ACP-EXCH-002","Q:\Windows\System32\Config\System","12.5"
"ACTC-HDC-002","Q:\Windows\System32\Config\Software","48"
"ACTC-HDC-002","Q:\Windows\System32\Config\System","10.5"
"ACTC-SRV-001","Q:\Windows\System32\Config\Software","94.75"
"ACTC-SRV-001","Q:\Windows\System32\Config\System","14.75"
"ACU-HDC-001","Q:\Windows\System32\Config\Software","48.75"
"ACU-HDC-001","Q:\Windows\System32\Config\System","12.5"
"ACU-HDC-002","Q:\Windows\System32\Config\Software","52.25"
"ACU-HDC-002","Q:\Windows\System32\Config\System","11.25"
"ARCC-APP-001","Q:\Windows\System32\Config\Software","62.25"
"ARCC-APP-001","Q:\Windows\System32\Config\System","10.25"
"ARCC-HDC-002","Q:\Windows\System32\Config\Software","46"
"ARCC-HDC-002","Q:\Windows\System32\Config\System","10"
"ARCC-HDC-004","Q:\Windows\System32\Config\Software","65.75"
"ARCC-HDC-004","Q:\Windows\System32\Config\System","15.25"
"ARCC-EXCH-001","Q:\Windows\System32\Config\Software","66.75"
"ARCC-EXCH-001","Q:\Windows\System32\Config\System","11.25"
"ARCC-FS-002","Q:\Windows\System32\Config\Software","65.5"
"ARCC-FS-002","Q:\Windows\System32\Config\System","16.75"
"ARCC-SQL-001","Q:\Windows\System32\Config\Software","76.5"
"ARCC-SQL-001","Q:\Windows\System32\Config\System","9.75"
"ARCC-TSE-003","Q:\Windows\System32\Config\Software","92"
"ARCC-TSE-003","Q:\Windows\System32\Config\System","122.25"
"ARCC-TSE-004","Q:\Windows\System32\Config\Software","91.25"
"ARCC-TSE-004","Q:\Windows\System32\Config\System","92.5"
"BLUS-APP-001","Q:\Windows\System32\Config\Software","57"
"BLUS-APP-001","Q:\Windows\System32\Config\System","8.25"
"BLUS-RDS-001","Q:\Windows\System32\Config\Software","102.25"
"BLUS-RDS-001","Q:\Windows\System32\Config\System","13.75"
"BLUS-SRV-001","Q:\Windows\System32\Config\Software","74.5"
"BLUS-SRV-001","Q:\Windows\System32\Config\System","15.25"
"BLUS-SQL-001","Q:\Windows\System32\Config\Software","67.5"
"BLUS-SQL-001","Q:\Windows\System32\Config\System","8.5"
"BLUS-SQL-002","Q:\Windows\System32\Config\Software","87"
"BLUS-SQL-002","Q:\Windows\System32\Config\System","10.75"
"BRIO-MEM-001","Q:\Windows\System32\Config\Software","60.25"
"BRIO-MEM-001","Q:\Windows\System32\Config\System","16.75"
"BRIO-SRV-001","Q:\Windows\System32\Config\Software","45.75"
"BRIO-SRV-001","Q:\Windows\System32\Config\System","12.5"
"ENHC-SRV-001","Q:\Windows\System32\Config\Software","87.25"
"ENHC-SRV-001","Q:\Windows\System32\Config\System","20.25"
"GDA-HDC-001","Q:\Windows\System32\Config\Software","40.75"
"GDA-HDC-001","Q:\Windows\System32\Config\System","10.25"
"GDA-FS-001","Q:\Windows\System32\Config\Software","59.75"
"GDA-FS-001","Q:\Windows\System32\Config\System","13.25"
"GDA-RDS-001","Q:\Windows\System32\Config\Software","115.5"
"GDA-RDS-001","Q:\Windows\System32\Config\System","26"
"HSFG-FS-001","Q:\Windows\System32\Config\Software","105.5"
"HSFG-FS-001","Q:\Windows\System32\Config\System","13.5"
"HSFG-HDC-001","Q:\Windows\System32\Config\Software","44.75"
"HSFG-HDC-001","Q:\Windows\System32\Config\System","10.5"
"HSFG-SQL-001","Q:\Windows\System32\Config\Software","60.75"
"HSFG-SQL-001","Q:\Windows\System32\Config\System","11.25"
"HSFG-TSP-001","Q:\Windows\System32\Config\Software","61.5"
"HSFG-TSP-001","Q:\Windows\System32\Config\System","10"
"MW-HDC-001","Q:\Windows\System32\Config\Software","46.25"
"MW-HDC-001","Q:\Windows\System32\Config\System","11.5"
"MW-HDC-002","Q:\Windows\System32\Config\Software","45.75"
"MW-HDC-002","Q:\Windows\System32\Config\System","10.75"
