ServerName,FilePath,FileSize
SHEP-APP-012,Q:\Windows\System32\Config\Software,79.75
SHEP-APP-012,Q:\Windows\System32\Config\System,16.75
SHEP-APP-013,Q:\Windows\System32\Config\Software,48.75
SHEP-APP-013,Q:\Windows\System32\Config\System,17
SHEP-APP-015,Q:\Windows\System32\Config\Software,87.25
SHEP-APP-015,Q:\Windows\System32\Config\System,16.75
SHEP-APP-016,Q:\Windows\System32\Config\Software,99.25
SHEP-APP-016,Q:\Windows\System32\Config\System,15.25
SHEP-FS-001,Q:\Windows\System32\Config\Software,86.25
SHEP-FS-001,Q:\Windows\System32\Config\System,34.25
SHEP-HDC-001,Q:\Windows\System32\Config\Software,76
SHEP-HDC-001,Q:\Windows\System32\Config\System,21.75
SHEP-MEM-001,Q:\Windows\System32\Config\Software,68.75
SHEP-MEM-001,Q:\Windows\System32\Config\System,31.5
SHEP-SP-001,Q:\Windows\System32\Config\Software,95.75
SHEP-SP-001,Q:\Windows\System32\Config\System,20
SHEP-TSE-003,Q:\Windows\System32\Config\Software,376.5
SHEP-TSE-003,Q:\Windows\System32\Config\System,73.5
SHEP-TSE-004,Q:\Windows\System32\Config\Software,338
SHEP-TSE-004,Q:\Windows\System32\Config\System,92.5
SHEP-TSE-005,Q:\Windows\System32\Config\Software,197.5
SHEP-TSE-005,Q:\Windows\System32\Config\System,45
SHEP-TSE-006,Q:\Windows\System32\Config\Software,45.5
SHEP-TSE-006,Q:\Windows\System32\Config\System,16.5
,,
SHEP-EXCH-001,Q:\Windows\System32\Config\Software,98
SHEP-EXCH-001,Q:\Windows\System32\Config\System,23
