ServerName,DriveName,DiskSize,UsedSpace,FreeSpace,DataSize
ACE-FS-001,D:,1300,1134.52,165.48,
ACE-FS-001,,,,,932.56
ACAWT-APP-004,D:,127,7.71,119.29,
ACAWT-APP-004,,,,,0.84
ACAWT-APP-006,D:,999.98,873.83,126.15,
ACAWT-APP-006,,,,,858.46
ACAWT-FS-001,D:,1224.98,1161.61,63.37,
ACAWT-FS-001,,,,,956.26
ACAWT-SQL-001,D:,500,63,437,
ACAWT-SQL-001,,,,,62.6
ACAWT-SQL-002,E:,264,56,208,
ACAWT-SQL-002,,,,,53.6
ACTC-SRV-001,D:,,,,
ACTC-SRV-001,,,,,41.9
ARCC-FS-001 (ACU),F:,3.49 TB,2.35 TB,1.35 TB,
ARCC-FS-001 (ACU),,,,,790
ACP-FS-001,D:,600,395.77,204.23,
ACP-FS-001,,,,,494.09
ACP-FS-002,D:,1023.87,86.09,937.78,
ACP-FS-002,,,,,36.49
BLUS-APP-001,D:,100,32.09,67.91,
BLUS-APP-001,,,,,5.19
BLUS-RDS-001,D:,23.05,1.78,21.27,
BLUS-RDS-001,,,,,0.05
BLUS-SQL-001,D:,100,73.38,26.62,
BLUS-SQL-001,,,,,45.24
BLUS-SQL-002,D:,200,77.73,122.27,
BLUS-SQL-002,,,,,51.75
BLUS-SRV-001,D:,1753.9,962.04,791.86,
BLUS-SRV-001,,,,,491.24
BRIO-APP-001,D:,199.98,21.95,178.03,
BRIO-APP-001,,,,,7.16
BRIO-MEM-001,D:,499.81,398.69,101.12,
BRIO-MEM-001,,,,,256.68
ENHC-SRV-001,D:,199.92,124.89,75.03,
ENHC-SRV-001,,,,,59.68
GDA-FS-002,D:,599.98,581.36,18.62,
GDA-FS-002,,,,,466.98
GDA-RDS-001,D:,20,5.94,14.06,
GDA-RDS-001,,,,,0.01
GLP-SRV-001,D:,273,268,5.28,264
GLP-SRV-001,,,,,
HSFG-FS-001,D:,300,216.9,83.1,
HSFG-FS-001,,,,,281.92
HSFG-SQL-001,E:,200.75,137.47,63.28,
HSFG-SQL-001,,,,,107.65
HSFG-SQL-002,E:,149,91.3,57.7,
HSFG-SQL-002,,,,,41.6
HSFG-TSE-001,D:,273,127,146,
HSFG-TSE-001,,,,,127
HSFG-TSE-003,D:,99.9,5,94,
HSFG-TSE-003,,,,,2.83
MW-FS-001,D:,768.98,488.04,280.94,
MW-FS-001,,,,,455.82
MW-APP-001,D:,126.98,5.06,121.92,
MW-APP-001,,,,,4.14
MW-SQL-001,D:,126.98,39.76,87.22,
MW-SQL-001,,,,,37.54
MW-TSE-001,D:,126.98,9.51,117.47,
MW-TSE-001,,,,,3.87
NAIL-FS-001,D:,1000,835.16,164.84,
NAIL-FS-001,,,,,467.89
ODC-FS-001,D:,1200.98,1156.65,44.33,
ODC-FS-001,,,,,1117
ODC-APP-001,D:,100,30.3,69.7,
ODC-APP-001,,,,,6.79
ODC-SQL-002,F:,599.87,591.63,8.24,
ODC-SQL-002,,,,,578.74
ODC-SRV-001,D:,800,333.65,466.35,
ODC-SRV-001,,,,,127.85
PAL-APP-001,D:,20,6.45,13.55,
PAL-APP-001,,,,,6.28
PAL-FS-001,D:,601,482.24,118.76,
PAL-FS-001,,,,,309.69
PTA-APP-001,D:,893.62,179.95,713.67,
PTA-APP-001,,,,,159.45
PTA-APP-002,D:,250,158.47,91.53,
PTA-APP-002,,,,,124.99
PTA-FS-001,D:,1024,258.8,765.2,
PTA-FS-001,,,,,192.23
RI-APS-001,D:,120.87,34.11,86.76,
RI-APS-001,,,,,23.37
RI-FS-001,D:,449.87,381.55,68.32,
RI-FS-001,,,,,335.97
RI-HM-003,D:,20,10.25,9.75,
RI-HM-003,,,,,6.98
RI-MDT-003,D:,749.87,619.47,130.4,
RI-MDT-003,,,,,21.24
RI-SD-001,D:,63.87,36.08,27.79,
RI-SD-001,,,,,35.55
RI-SQL-001,D:,199.87,93.35,106.52,
RI-SQL-001,,,,,83.94
RI-TSE-001,D:,99.94,49.12,50.82,
RI-TSE-001,,,,,15.5
RMC-APP-001,D:,399.98,261.25,138.73,
RMC-APP-001,,,,,201.44
RMC-FS-001,D:,1936.98,1704.15,232.83,
RMC-FS-001,,,,,1277
TOO-SRV-002,D:,319.87,145.85,174.02,
TOO-SRV-002,,,,,157.48
TOO-TSE-001,D:,149.94,98.63,51.31,
TOO-TSE-001,,,,,69.78
WPC-FS-001,D:,600,285.38,314.62,
WPC-FS-001,,,,,101.11
