"ServerName","DriveName","DiskSize","UsedSpace","FreeSpace","DataSize"
"ACE-FS-001","D:","1501","1287.19","213.81",""
"ACE-FS-001","","","","","1196.94"
"ACP-FS-001","D:","600","379.36","220.64",""
"ACP-FS-001","","","","","479.55"
"ACP-FS-002","D:","1023.87","50.23","973.64",""
"ACP-FS-002","","","","","0.01"
"BLUS-APP-001","D:","100","33.38","66.62",""
"BLUS-APP-001","","","","","5.35"
"BLUS-RDS-001","D:","23.05","1.78","21.27",""
"BLUS-RDS-001","","","","","0.05"
"BLUS-SQL-001","D:","100","73.38","26.62",""
"BLUS-SQL-001","","","","","45.27"
"BLUS-SQL-002","D:","200","98.45","101.55",""
"BLUS-SQL-002","","","","","73.51"
"BLUS-SRV-001","D:","1753.9","981.25","772.65",""
"BLUS-SRV-001","","","","","508.18"
"BRIO-APP-001","D:","199.98","22.14","177.84",""
"BRIO-APP-001","","","","","7.31"
"BRIO-MEM-001","D:","499.81","439.89","59.92",""
"BRIO-MEM-001","","","","","284.54"
"ENHC-SRV-001","D:","199.92","136.08","63.84",""
"ENHC-SRV-001","","","","","68.68"
"GDA-FS-002","D:","700.98","617.86","83.12",""
"GDA-FS-002","","","","","497.32"
"GDA-RDS-001","D:","20","5.94","14.06",""
"GDA-RDS-001","","","","","0.01"
"NAIL-FS-001","D:","1000","838.72","161.28",""
"NAIL-FS-001","","","","","469.15"
"ODC-FS-001","D:","1301.98","1230.54","71.44",""
"ODC-FS-001","","","","","1183"
"ODC-APP-001","D:","100","30.4","69.6",""
"ODC-APP-001","","","","","6.85"
"ODC-SQL-002","F:","799.87","708.16","91.71",""
"ODC-SQL-002","","","","","707.77"
"ODC-SRV-001","D:","800","375.96","424.04",""
"ODC-SRV-001","","","","","130.85"
"PAL-APP-001","D:","20","8.77","11.23",""
"PAL-APP-001","","","","","8.6"
"PAL-FS-001","D:","601","495.95","105.05",""
"PAL-FS-001","","","","","350.83"
"RI-APS-001","D:","120.87","36.21","84.66",""
"RI-APS-001","","","","","23.37"
"RI-FS-001","D:","449.87","383.5","66.37",""
"RI-FS-001","","","","","368.4"
"RI-HM-003","D:","20","11.45","8.55",""
"RI-HM-003","","","","","8.17"
"RI-MDT-003","D:","749.87","699.98","49.89",""
"RI-MDT-003","","","","","21.59"
"RI-SD-001","D:","63.87","46.22","17.65",""
"RI-SD-001","","","","","45.7"
"RI-TSE-001","D:","99.94","50.18","49.76",""
"RI-TSE-001","","","","","16.4"
"RMC-APP-001","D:","399.98","271.11","128.87",""
"RMC-APP-001","","","","","253.49"
"RMC-FS-001","D:","2137.98","1913.27","224.71",""
"RMC-FS-001","","","","","1593"
"TOO-SRV-002","D:","319.87","162.23","157.64",""
"TOO-SRV-002","","","","","185.86"
"TOO-TSE-001","D:","169.94","144.4","25.54",""
"TOO-TSE-001","","","","","112.28"
"WPC-FS-001","D:","600","343.9","256.1",""
"WPC-FS-001","","","","","125.19"
