SERVERNAME,Drives,DataDirectory
ACE-FS-001,D:,"D:\Data,D:\Software"
ACAWT-APP-004,D:,D:\Data
ACAWT-APP-006,D:,D:\Data
ACAWT-FS-001,D:,D:\Data
ACAW-SQL-001,D:,D:\Data
ACP-FS-001,D:,D:\Data
ACP-FS-002,D:,D:\Data
BLUS-APP-001,D:,D:\Data
BLUS-RDS-001,D:,D:\Data
BLUS-SQL-001,D:,D:\Data
BLUS-SQL-002,D:,D:\Data
BLUS-SRV-001,D:,D:\Data
BRIO-APP-001,D:,D:\Data
BRIO-MEM-001,D:,D:\Data
ENHC-SRV-001,D:,D:\Data
GDA-FS-001,D:,D:\Data
GDA-RDS-001,D:,D:\Data
GDA-TSE-001,D:,D:\Data
GLP-SRV-001,D:,D:\Data
,,
HSFG,,
HSFG-FS-001,,
HSFG-SQL-001,,
HSFG-SQL-002,,
HSFG-TSE-001,,
HSFG-TSE-003,,
,,
NAIL,,
NAIL-FS-001,,
,,
ODC,,
ODC-FS-001,,
ODC-APP-001,,
ODC-SQL-002,,
ODC-SRV-001,,
,,
PAL,,
PAL-APP-001,,
PAL-FS-001,,
PAL-TSE-001,,
,,
PTA,,
PTA-APP-001,,
PTA-APP-002,,
PTA-FS-001,,
PTA-TSE-001,,
,,
RI,,
RI-APS-001,,
RI-DEV-001,,
Ri-EXCH-001,,
RI-FS-001,,
RI-HM-003,,
RI-MDT-003,,
RI-SD-001,,
RI-SQL-001,,
RI-TSE-001,,
,,
RMC,,
RMC-APP-001,,
RMC-FS-001,,
,,
TOO,,
TOO-SRV-002,,
TOO-TSE-001,,
,,
WPC,,
WPC-FS-001,,
