SERVERNAME,Drives,DataDirectory
ACE-FS-001,D:,"D:\Data,D:\Software"
ACAWT-APP-004,D:,D:\Data
ACAWT-APP-006,D:,D:\Data
ACAWT-FS-001,D:,D:\Data
ACAW-SQL-001,D:,D:\Data
ACP-FS-001,D:,D:\Data
ACP-FS-002,D:,D:\Data
BLUS-APP-001,D:,D:\Data
BLUS-RDS-001,D:,D:\Data
BLUS-SQL-001,D:,D:\Data
BLUS-SQL-002,D:,D:\Data
BLUS-SRV-001,D:,D:\Data
BRIO-APP-001,D:,D:\Data
BRIO-MEM-001,D:,D:\Data
ENHC-SRV-001,D:,D:\Data
GDA-FS-002,D:,D:\Data
GDA-RDS-001,D:,D:\Data
GLP-SRV-001,D:,D:\Data
HSFG-FS-001,D:,D:\Data
HSFG-SQL-001,E:,E:\Data
HSFG-SQL-002,D:,D:\Data
HSFG-TSE-001,D:,D:\Data
HSFG-TSE-003,D:,D:\Data
MW-FS-001,D:,D:\Data
MW-APP-001,D:,D:\Data
MW-SQL-001,D:,D:\Data
MW-TSE-001,D:,D:\Data
NAIL-FS-001,D:,D:\Data
ODC-FS-001,D:,D:\Data
ODC-APP-001,D:,D:\Data
ODC-SQL-002,D:,D:\Data
ODC-SRV-001,D:,D:\Data
PAL-APP-001,D:,D:\Data
PAL-FS-001,D:,D:\Data
PTA-APP-001,D:,D:\Data
PTA-APP-002,D:,D:\Data
PTA-FS-001,D:,D:\Data
RI-APS-001,D:,D:\Data
RI-DEV-001,D:,D:\Data
Ri-EXCH-001,D:,D:\Data
RI-FS-001,D:,D:\Data
RI-HM-003,D:,D:\Data
RI-MDT-003,D:,D:\Data
RI-SD-001,D:,D:\Data
RI-SQL-001,D:,D:\Data
RI-TSE-001,D:,D:\Data
RMC-APP-001,D:,D:\Data
RMC-FS-001,D:,D:\Data
TOO-SRV-002,D:,D:\Data
TOO-TSE-001,D:,D:\Data
WPC-FS-001,D:,D:\Data
