ServerName,DriveName,DiskSize,FreeSpace,VMName,State,SnapshotName,SnapshotTYpe,Todo
ACAWT-HVS-001,C:,2234.4,980.95,,,,,
ACAWT-HVS-001,D:,6704.98,795.01,,,,,
,,,,ACAWT-APP-006,Running,,,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - b88b31b2-a906-47a7-a964-ebed2e5852ac,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - c9fe40d7-69d3-4fa5-96f8-a221a41cabce,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 1efa3e28-03a0-4a9c-af06-e851e15461f2,Standard,
,,,,ACAWT-EXCH-001,Running,,,
,,,,ACAWT-FS-001,Running,,,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 856f38ac-4cf6-467a-960b-5019800d919a,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 17cd11fc-f660-4436-8bba-c928cf27ac66,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - b70a0724-c0e6-442b-9f27-a6b552717385,Standard,
,,,,ACAWT-HDC-001,Off,,,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 2210f195-21f1-4588-b884-cc397ee752f1,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 2a738907-5cde-4e95-8acb-6afaa79642b6,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - c97c9e3a-9c5f-4391-afb2-66b130cec13f,Standard,
ACAWT-HVS-001,,,,,,ACAWT-HDC-001 - (10/27/2023 - 5:48:14 PM),Standard,
,,,,ACAWT-HDC-002,Running,,,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 22d500fd-b1e6-472e-8e80-2e8f4f0aa233,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - c6f3f3c1-5cce-450d-b212-c949ed58d40f,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - a7e69b38-8715-45ee-9dcb-f27f368b9bc6,Standard,
,,,,ACAWT-HDC-003,Running,,,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 82c28759-bec2-4678-97d0-e7936dd42d8e,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 4f7374f7-c426-4b95-aa67-17fba4be5c14,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 880cd787-794b-4c3e-be9f-3c25be11f2df,Standard,
,,,,ACAWT-HDC-101,Running,,,
,,,,ACAWT-PRXY-001,Running,,,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - bec872ee-8fba-41d6-aa1d-61f917325bf5,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 880f13f1-154a-4fa4-93dd-4dba46d988bc,Standard,
,,,,ACAWT-SP-002,Off,,,
ACAWT-HVS-001,,,,,,ACAWT-SP-002 - (10/30/2020 - 4:53:14 PM) - Sharepoint 2013 Installed,Standard,
ACAWT-HVS-001,,,,,,ACAWT-SP-002 - (10/30/2020 - 7:36:47 PM) Upgraded SQL2008 to 2012 SP4,Standard,
ACAWT-HVS-001,,,,,,ACAWT-SP-002 - (10/24/2023 - 8:57:07 AM),Standard,
,,,,ACAWT-SP-003,Running,,,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 594938c6-5134-4161-bdd5-235805e28c01,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - 5f942175-0c3d-4721-a7d2-d6170d8c80b5,Standard,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - cf4b017b-3844-444f-b18d-01d4b2aebda3,Standard,
,,,,ACAWT-SQL-001,Running,,,
ACAWT-HVS-001,,,,,,Rolling Checkpoint - c886dbdd-3b2d-440c-a7c1-3e143b754c82,Standard,
