"ServerName","DriveName","DiskSize","FreeSpace","VMName","State","SnapshotName","SnapshotTYpe"
"ACAWT-HVS-001","C:","2234.4","980.79",,,,
"ACAWT-HVS-001","D:","6704.98","547.21",,,,
,,,,"ACAWT-APP-006","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 8b0a0ff0-fff6-4efb-9670-25efd45b5a48","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 607ce42e-8fa9-4b81-a1c2-13742f6143c5","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - a19bcf4b-83de-4616-9ae2-80d541ba13d2","Standard"
,,,,"ACAWT-EXCH-001","Running",,
,,,,"ACAWT-FS-001","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - e43a7122-7819-4b26-914d-911088d0ef82","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 81bbea6e-38d7-4f21-a1b8-d46d4eac5b72","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 928ed81e-0f8e-478e-a751-be32eacd031b","Standard"
,,,,"ACAWT-HDC-001","Off",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 2210f195-21f1-4588-b884-cc397ee752f1","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 2a738907-5cde-4e95-8acb-6afaa79642b6","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - c97c9e3a-9c5f-4391-afb2-66b130cec13f","Standard"
"ACAWT-HVS-001",,,,,,"ACAWT-HDC-001 - (10/27/2023 - 5:48:14 PM)","Standard"
,,,,"ACAWT-HDC-002","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - d2973604-968f-4869-ada0-077d1128eb21","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 9e45b993-744c-4ac3-bbc1-8d2909e7934b","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 808be66c-bece-4c30-af65-723f51f6a35b","Standard"
,,,,"ACAWT-HDC-003","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 5f22cbae-29d2-48fe-a4e7-453de09f237c","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 1c4a7e69-9139-4495-8d39-94bd84fd180e","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 9e9fd1d2-7bf7-42ef-9be9-0dfa6ec1571c","Standard"
,,,,"ACAWT-HDC-101","Running",,
,,,,"ACAWT-PRXY-001","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - a648a241-2fb5-4db4-9a7d-dcb589b87d4b","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - f9f9fb54-2702-42cd-9158-62aa4247de44","Standard"
,,,,"ACAWT-SP-002","Off",,
"ACAWT-HVS-001",,,,,,"ACAWT-SP-002 - (10/30/2020 - 4:53:14 PM) - Sharepoint 2013 Installed","Standard"
"ACAWT-HVS-001",,,,,,"ACAWT-SP-002 - (10/30/2020 - 7:36:47 PM) Upgraded SQL2008 to 2012 SP4","Standard"
"ACAWT-HVS-001",,,,,,"ACAWT-SP-002 - (10/24/2023 - 8:57:07 AM)","Standard"
,,,,"ACAWT-SP-003","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 5df7c515-251f-45f2-b3b9-8adba89a4134","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - c33f570f-aafc-46a7-95bf-f6aa47aa8040","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 5704c0e9-8428-4cef-9fe2-c3cc77533b50","Standard"
,,,,"ACAWT-SQL-001","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 324f2b69-acdd-4f58-a76a-8f4313415f3f","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - a37be484-2cd3-49d6-b04c-fcba0bdeb271","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 5e6b8b61-bb7c-4cd4-80c8-ebe37aadacb9","Standard"
,,,,"ACAWT-TSE-001","Off",,
,,,,"ACTC-HDC-001","Off",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - a05b8364-d2fa-4eb4-8660-fa3bfab64cf9","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - dab4c93a-689c-4311-8394-923aeea24097","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 3379d1a1-8d9d-4bb2-b558-523d787fd271","Standard"
,,,,"ACU-HDC-001","Off",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - dd836e6b-1001-4f61-abdc-a7f57541d134","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - c1471a2e-0c93-47d4-ba2a-bdc90d0088c3","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - c3e614bc-398a-46b9-a266-a1d2adcafcc4","Standard"
,,,,"ARCC-EXCH-001-X","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - d84d3978-eecd-43fa-a43e-31ddff26f038","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 48387ae7-ed2c-4f43-83fb-3598b39a40c6","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - a62f30c0-4bc3-4aa8-bf2d-21bacf681844","Standard"
,,,,"ARCC-HDC-004","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 44453ad8-89ba-4ab3-ac58-fd426af59592","Standard"
