"ServerName","DriveName","FreeSpace","DiskSize","VMName","State","SnapshotName","SnapshotTYpe"
"ACAWT-HVS-001","C:","2202.78","2234.4",,,,
"ACAWT-HVS-001","D:","5314.9","6704.98",,,,
,,,,"ACAWT-APP-001","Running",,
,,,,"ACAWT-APP-002","Running",,
,,,,"ACAWT-APP-003","Running",,
,,,,"ACAWT-EXCH-001","Off",,
,,,,"ACAWT-FS-001","Running",,
,,,,,,"Rolling Checkpoint - 997d45e1-24b1-4f31-8625-f5deedc31f68","Standard"
,,,,,,"Rolling Checkpoint - f8ca273a-749f-4f53-91ff-3ffbae84b382","Standard"
,,,,,,"Rolling Checkpoint - 7ee3d58e-ebe4-44d5-8aef-434a4b20d4c2","Standard"
,,,,"ACAWT-HDC-001","Running",,
,,,,,,"Rolling Checkpoint - 117a4331-7591-4327-87ef-14d5544976ab","Standard"
,,,,,,"Rolling Checkpoint - 7d985531-0fa7-455c-b7d6-4f7e4fde08f8","Standard"
,,,,,,"Rolling Checkpoint - 256c6c34-45ff-4500-8a73-25d96fbdef40","Standard"
,,,,"ACAWT-SP-002","Off",,
,,,,,,"ACAWT-SP-002 - (10/30/2020 - 4:53:14 PM) - Sharepoint 2013 Installed","Standard"
,,,,,,"ACAWT-SP-002 - (10/30/2020 - 7:36:47 PM) Upgraded SQL2008 to 2012 SP4","Standard"
,,,,"ACAWT-SP-003","Running",,
,,,,,,"Rolling Checkpoint - 2c026301-7c43-4a93-a95b-5c00f8e6bbf3","Standard"
,,,,,,"Rolling Checkpoint - c4a842b2-a83b-4275-809d-d4606169facd","Standard"
,,,,,,"Rolling Checkpoint - 52d69257-6916-4487-bcbd-e3c304d451e6","Standard"
,,,,"ACAWT-TSE-001","Off",,
,,,,,,"Rolling Checkpoint - cc3b65e1-c23c-41a1-9c2d-f35aa840b8ab","Standard"
,,,,,,"Rolling Checkpoint - f2a38400-9f3c-419e-a828-e92fd3c912d7","Standard"
